uri,dc.identifier,notation,prefLabel,definition,note,inScheme,topConceptOf
concept:124,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.124,124,Paripteris sp.,Paripteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:125,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.125,125,Belemnitella mucronata,Belemnitella mucronata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:126,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.126,126,Baculites vertebralis,Baculites vertebralis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:127,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.127,127,Aporrhais granulosa,Aporrhais granulosa,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:128,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.128,128,Lispodesthes schlotheimi,Lispodesthes schlotheimi,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:129,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.129,129,Lunatia klipsteini,Lunatia klipsteini,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:130,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.130,130,Entalis geinitzi,Entalis geinitzi,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:131,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.131,131,Turritella acantophospora,Turritella acantophospora,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:132,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.132,132,Tubbreva exaltata,Tubbreva exaltata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:133,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.133,133,Trochus gemineus,Trochus gemineus,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:134,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.134,134,Gervillia solenoides,Gervillia solenoides,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:135,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.135,135,Liopistha aequivalvis,Liopistha aequivalvis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:136,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.136,136,Cucullea subglabra,Cucullea subglabra,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:137,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.137,137,Pecten pusio,Pecten pusio,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:138,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.138,138,Pectunculus sp.,Pectunculus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:139,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.139,139,Ostrea sp.,Ostrea sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:140,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.140,140,Cardium sp.,Cardium sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:141,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.141,141,Cyprina sp.,Cyprina sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:142,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.142,142,Meretrix sp.,Meretrix sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:143,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.143,143,Astarte sp.,Astarte sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:144,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.144,144,Pecten sp.,Pecten sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:145,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.145,145,Balanus sp.,Balanus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:146,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.146,146,Corbula sp.,Corbula sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:147,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.147,147,Nucula duchasteli,Nucula duchasteli,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
